B.1.arg,B.1.vd,value,se,x,z,,,
0,3.2834,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,3.2834,-1.34355849,0.891366017,0.364822222,1.010784161,,,
0.222222222,3.2834,-2.379385591,1.000023949,0.729644444,0.886111034,,,
0.333333333,3.2834,-3.737444026,1.23367032,1.094466667,0.72265384,,,
0.444444444,3.2834,-5.417737969,1.641927938,1.459288889,0.520412076,,,
0.555555556,3.2834,-7.420267102,2.24871134,1.824111111,0.279385781,,,
0.666666667,3.2834,-9.745031804,3.055792439,2.188933333,-0.000425091,,,
0.777777778,3.2834,-12.39203294,4.058559094,2.553755556,-0.319020645,,,
0.888888889,3.2834,-15.36127086,5.252626852,2.918577778,-0.676400922,,,
1,3.2834,-18.65274516,6.634961926,3.2834,-1.072565872,,,
0,3.3393,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,3.3393,-1.401223251,0.886166404,0.371033333,1.003843576,,,
0.222222222,3.3393,-2.489321014,1.00492657,0.742066667,0.872879103,,,
0.333333333,3.3393,-3.894255799,1.261124454,1.1131,0.703779827,,,
0.444444444,3.3393,-5.616031852,1.693321813,1.484133333,0.496545237,,,
0.555555556,3.3393,-7.654648909,2.318048607,1.855166667,0.251175366,,,
0.666666667,3.3393,-10.01010728,3.135845646,2.2262,-0.032329826,,,
0.777777778,3.3393,-12.68240781,4.143092277,2.597233333,-0.353970438,,,
0.888888889,3.3393,-15.67155087,5.336473299,2.968266667,-0.713746516,,,
1,3.3393,-18.97753607,6.713693184,3.3393,-1.111658013,,,
0,3.3952,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,3.3952,-1.456989177,0.881679351,0.377244444,0.997131537,,,
0.222222222,3.3952,-2.595636392,1.011464373,0.754488889,0.860082884,,,
0.333333333,3.3952,-4.045903947,1.290056691,1.131733333,0.685527313,,,
0.444444444,3.3952,-5.807796151,1.745127726,1.508977778,0.473464306,,,
0.555555556,3.3952,-7.881312797,2.386920765,1.886222222,0.223893886,,,
0.666666667,3.3952,-10.26645414,3.215072216,2.263466667,-0.063183976,,,
0.777777778,3.3952,-12.96322099,4.226824843,2.640711111,-0.387769377,,,
0.888888889,3.3952,-15.97161372,5.419785349,3.017955556,-0.749862364,,,
1,3.3952,-19.291632,6.792311636,3.3952,-1.149462895,,,
0,3.4511,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,3.4511,-1.51094854,0.877852142,0.383455556,0.990636937,,,
0.222222222,3.4511,-2.698507633,1.019439787,0.766911111,0.847701204,,,
0.333333333,3.4511,-4.192639386,1.320134853,1.150366667,0.667866097,,,
0.444444444,3.4511,-5.993348159,1.797054731,1.533822222,0.451131091,,,
0.555555556,3.4511,-8.100633806,2.455120278,1.917277778,0.197496203,,,
0.666666667,3.4511,-10.51449653,3.293303576,2.300733333,-0.093038591,,,
0.777777778,3.4511,-13.23493709,4.309592703,2.684188889,-0.420473383,,,
0.888888889,3.4511,-16.26195591,5.502387853,3.067644444,-0.784808223,,,
1,3.4511,-19.59555265,6.870624533,3.4511,-1.186043072,,,
0,3.507,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,3.507,-1.563187726,0.874635361,0.389666667,0.984349379,,,
0.222222222,3.507,-2.798099432,1.028670605,0.779333333,0.835714241,,,
0.333333333,3.507,-4.334697036,1.351075831,1.169,0.650767904,,,
0.444444444,3.507,-6.172984939,1.848870313,1.558666667,0.429509839,,,
0.555555556,3.507,-8.312963061,2.522487513,1.948333333,0.171940053,,,
0.666666667,3.507,-10.75463155,3.37041083,2.338,-0.121941469,,,
0.777777778,3.507,-13.49799113,4.39126712,2.727666667,-0.452134816,,,
0.888888889,3.507,-16.54304225,5.584138395,3.117333333,-0.81864004,,,
1,3.507,-19.8897846,6.94847,3.507,-1.221457106,,,
0,3.5629,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,3.5629,-1.613787702,0.871982733,0.395877778,0.978259118,,,
0.222222222,3.5629,-2.894566147,1.038990133,0.791755556,0.824103417,,,
0.333333333,3.5629,-4.472297073,1.382639956,1.187633333,0.634206234,,,
0.444444444,3.5629,-6.346984913,1.900389724,1.583511111,0.408567038,,,
0.555555556,3.5629,-8.518629653,2.588901205,1.979388889,0.147185828,,,
0.666666667,3.5629,-10.98723139,3.446297166,2.375266667,-0.149937405,,,
0.777777778,3.5629,-13.75279083,4.471748552,2.771144444,-0.482802748,,,
0.888888889,3.5629,-16.81530841,5.664922198,3.167022222,-0.851410252,,,
1,3.5629,-20.17478386,7.025712754,3.5629,-1.255759886,,,
0,3.6188,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,3.6188,-1.662824432,0.869850971,0.402088889,0.972357011,,,
0.222222222,3.6188,-2.988052597,1.050246942,0.804177778,0.812851299,,,
0.333333333,3.6188,-4.605646067,1.414625468,1.206266667,0.618156224,,,
0.444444444,3.6188,-6.515609296,1.951467123,1.608355556,0.388271248,,,
0.555555556,3.6188,-8.717942339,2.654270802,2.010444444,0.123196365,,,
0.666666667,3.6188,-11.21264525,3.520891693,2.412533333,-0.17706843,,,
0.777777778,3.6188,-13.99971869,4.550961531,2.814622222,-0.512523218,,,
0.888888889,3.6188,-17.07916312,5.744647801,3.216711111,-0.883168054,,,
1,3.6188,-20.4509783,7.102240398,3.6188,-1.289002909,,,
0,3.6747,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,3.6747,-1.710369255,0.868199629,0.4083,0.966634472,,,
0.222222222,3.6747,-3.078694792,1.062304325,0.8166,0.801941519,,,
0.333333333,3.6747,-4.734938022,1.446863345,1.2249,0.602594522,,,
0.444444444,3.6747,-6.679103412,2.001988305,1.6332,0.368592942,,,
0.555555556,3.6747,-8.911191088,2.718530327,2.0415,0.099936764,,,
0.666666667,3.6747,-11.43120106,3.594144448,2.4498,-0.203374014,,,
0.777777778,3.6747,-14.23913397,4.628850431,2.8581,-0.541339466,,,
0.888888889,3.6747,-17.33499026,5.823243388,3.2664,-0.91395965,,,
1,3.6747,-20.71876973,7.17796021,3.6747,-1.321234539,,,
0,3.7306,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,3.7306,-1.756489237,0.866990954,0.414511111,0.961083427,,,
0.222222222,3.7306,-3.166620588,1.075039535,0.829022222,0.791358688,,,
0.333333333,3.7306,-4.86035531,1.479212613,1.243533333,0.587499179,,,
0.444444444,3.7306,-6.837697879,2.051864747,1.658044444,0.349504362,,,
0.555555556,3.7306,-9.09864849,2.781633467,2.072555556,0.077374214,,,
0.666666667,3.7306,-11.64320712,3.666022344,2.487066667,-0.228891263,,,
0.777777778,3.7306,-14.47137436,4.705375949,2.901577778,-0.569292139,,,
0.888888889,3.7306,-17.58315068,5.900653677,3.316088889,-0.943828472,,,
1,3.7306,-20.9785359,7.252796372,3.7306,-1.352500239,,,
0,3.7865,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,3.7865,-1.801247482,0.866189743,0.420722222,0.955696282,,,
0.222222222,3.7865,-3.251950291,1.088342884,0.841444444,0.781088324,,,
0.333333333,3.7865,-4.982069538,1.511556185,1.262166667,0.57284954,,,
0.444444444,3.7865,-6.991609697,2.101028766,1.682888889,0.330979391,,,
